name,version,vendor,oss,purpose,used_by,risk,evidence,confidence,needs_confirm,note
slf4j-api,2.0.18,QOS.ch (SLF4J),yes,ロギングファサード API,MyBatis 内部・Spring 内部（間接利用）,none,pom.xml: <artifactId>slf4j-api</artifactId><version>${slf4j.version}</version> (2.0.18),fact,no,2.x 系は活発にメンテ中。後継問題なし
slf4j-simple,2.0.18,QOS.ch (SLF4J),yes,SLF4J シンプルロガー実装。標準出力にログ出力,アプリ全体（ランタイムログ出力）,none,pom.xml: <artifactId>slf4j-simple</artifactId><version>${slf4j.version}</version> (2.0.18),fact,no,本番環境では Logback 等への差し替えを要検討
hsqldb,2.7.4,HSQLDB Project,yes,インメモリ/組み込みリレーショナル DB。起動時スキーマ・データロード,applicationContext.xml（jdbc:embedded-database）・SQL ファイル群,mid,pom.xml: <artifactId>hsqldb</artifactId><version>${hsqldb.version}</version> (2.7.4),fact,no,デモ用組み込みDB。本番環境では別DBへの置換が前提。移行時は SQL 方言差異の確認が必要
spring-batch-infrastructure,5.2.6,Spring Framework (VMware/Broadcom),yes,Spring Batch の基盤モジュール。OSGi 問題の回避のために Liberty 向けに追加,pom.xml コメント: "Due to osgi issue with mybatis spring its required here for liberty",mid,pom.xml: <artifactId>spring-batch-infrastructure</artifactId><version>5.2.6</version> (コメント付き),fact,no,Liberty APサーバー使用時のみ実質必要。他APサーバーでは不要な依存の可能性あり
byte-buddy,1.18.10,Rafael Winterhalter (ByteBuddy),yes,Java バイトコード生成ライブラリ（テストスコープ。Mockito 依存）,テストコード全般（Mockito 経由）,none,pom.xml: <artifactId>byte-buddy</artifactId><version>${byte-buddy.version}</version><scope>test</scope>,fact,no,テストスコープのみ。プロダクションコードには影響なし
byte-buddy-agent,1.18.10,Rafael Winterhalter (ByteBuddy),yes,ByteBuddy Java エージェント（Surefire argLine で指定）,Maven Surefire テスト実行時,none,pom.xml: <artifactId>byte-buddy-agent</artifactId><version>${byte-buddy.version}</version><scope>test</scope>,fact,no,テストスコープのみ
junit-jupiter-engine,6.1.0,JUnit Team,yes,JUnit 5 テストエンジン,テストコード全般（src/test/java/**/*Test.java・*IT.java）,none,pom.xml: <artifactId>junit-jupiter-engine</artifactId><version>6.1.0</version><scope>test</scope>,fact,no,テストスコープのみ。JUnit 5 (Jupiter) 系は活発にメンテ中
mockito-core,5.23.0,Mockito Project,yes,Java モックフレームワーク,テストコード全般（*Test.java でモック生成）,none,pom.xml: <artifactId>mockito-core</artifactId><version>${mockito.version}</version><scope>test</scope>,fact,no,テストスコープのみ
mockito-junit-jupiter,5.23.0,Mockito Project,yes,Mockito と JUnit 5 の統合拡張,テストコード全般（@ExtendWith(MockitoExtension.class) 等）,none,pom.xml: <artifactId>mockito-junit-jupiter</artifactId><version>${mockito.version}</version><scope>test</scope>,fact,no,テストスコープのみ
assertj-core,3.27.7,AssertJ Project,yes,流暢な Java アサーションライブラリ,テストコード全般（assertThat(...)...）,none,pom.xml: <artifactId>assertj-core</artifactId><version>${assertj.version}</version><scope>test</scope>,fact,no,テストスコープのみ
selenide,7.16.2,Codeborne,yes,Selenium ベースの E2E UI テストライブラリ,src/test/java/org/mybatis/jpetstore/ScreenTransitionIT.java,none,pom.xml: <artifactId>selenide</artifactId><version>7.16.2</version><scope>test</scope>,fact,no,テストスコープのみ。E2E 統合テスト（*IT.java）で使用
htmlunit3-driver,4.44.0,Selenium HQ,yes,ヘッドレスブラウザ WebDriver（HtmlUnit 3 ベース）。E2E テスト用,src/test/java/org/mybatis/jpetstore/ScreenTransitionIT.java（Selenide 経由）,none,pom.xml: <artifactId>htmlunit3-driver</artifactId><version>4.44.0</version><scope>test</scope>,fact,no,テストスコープのみ
spring-test,6.2.19,Spring Framework (VMware/Broadcom),yes,Spring テストサポートモジュール,src/test/java/org/mybatis/jpetstore/mapper/MapperTestContext.java 等,none,pom.xml: <artifactId>spring-test</artifactId><version>${spring.version}</version><scope>test</scope>,fact,no,テストスコープのみ
maven-profiler,3.3,Jean-Christophe Gay (fr.jcgay),yes,Maven ビルドプロファイリング拡張。ビルド時間可視化,Maven ビルドプロセス全体,none,.mvn/extensions.xml: <artifactId>maven-profiler</artifactId><version>3.3</version>,fact,no,ビルドツール拡張のみ。プロダクション成果物には含まれない
