location,kind,detail,impact_area,risk,evidence,confidence,needs_confirm,note
pom.xml,deploy,"デプロイ対象コンテナ: Tomcat9/TomEE8/WildFly26/Liberty-ee8/Jetty12/GlassFish5/Payara5/Resin4 の 8 種（Maven プロファイルで切替）",デプロイ,mid,pom.xml:322-551,fact,yes,どのコンテナを本番で使用するかは設定から確定不可
pom.xml,deploy,cargo.daemon.url=http://localhost:18000 をハードコード（cargo daemon 使用時のみ適用）,デプロイ,low,pom.xml:276,fact,no,cargo daemon 機能は現状無効化（コメントアウト）されているため直接影響なし
Dockerfile,build,FROM openjdk:25（タグ固定なし — latest 相当）,ビルド・実行,mid,Dockerfile:17,fact,no,openjdk:25 は未リリース段階のイメージを参照する可能性あり。タグを固定すべき
Dockerfile,file-path,COPY . /usr/src/myapp — コンテナ内絶対パスに固定,デプロイ,low,Dockerfile:18-19,fact,no,Dockerfile 内部パスのため外部への影響は小さい
Dockerfile,shell,RUN ./mvnw clean package および CMD ./mvnw cargo:run -P tomcat90 を直接実行,デプロイ,mid,Dockerfile:20-21,fact,no,mvnw が POSIX シェルに依存するため Linux コンテナでのみ動作。Windows コンテナ不可
docker-compose.yaml,deploy,ポート 8080:8080 固定マッピング,デプロイ,low,docker-compose.yaml:21,fact,no,ホスト側 8080 が使用中の場合は衝突
.github/workflows/ci.yaml,build,GitHub Actions (ubuntu / macos / windows-latest) × Java 21/25/26/27-ea のマトリクス CI,ビルド,low,.github/workflows/ci.yaml:13-21,fact,no,ローカルビルド環境は CI と異なる場合があり結果が diverge する可能性がある
.github/workflows/support.yaml,deploy,liberty-ee8 プロファイルは windows-latest で除外（exclude 設定）。Windows での Liberty 非対応,デプロイ,mid,.github/workflows/support.yaml:38-40,fact,yes,Windows 上で Liberty EE8 が動作しない理由は CI の exclude から確認できるが詳細は未確認
.github/workflows/sonar.yaml,env-var,"SONAR_TOKEN, GITHUB_TOKEN — GitHub Actions Secrets 経由で設定",CI/CD,low,.github/workflows/sonar.yaml:39-40,fact,no,ローカル実行時は環境変数として別途設定が必要
.github/workflows/sonatype.yaml,env-var,"CI_DEPLOY_USERNAME, CI_DEPLOY_PASSWORD — Maven セントラルへのリリース認証情報",CI/CD,mid,.github/workflows/sonatype.yaml:30-31,fact,no,リリース環境でのみ必要。環境移行時は認証設定の引き継ぎが必要
.github/workflows/site.yaml,env-var,NVD_API_KEY — dependency-check-plugin が NVD API にアクセスするための API キー,CI/CD,low,.github/workflows/site.yaml:32,fact,no,NVD API キー未設定では dependency check が失敗する可能性あり
.mvn/settings.xml,env-var,"${env.CI_DEPLOY_USERNAME}, ${env.CI_DEPLOY_PASSWORD}, ${env.GITHUB_TOKEN}, ${env.NVD_API_KEY} — Maven settings に環境変数参照",CI/CD,low,.mvn/settings.xml:25-49,fact,no,ローカル実行時はこれらの環境変数が不要（リリース・サイト系ゴールのみ使用）
src/main/webapp/WEB-INF/web.xml,encoding,"web.xml の namespace が java.sun.com/xml/ns/javaee（Servlet 3.0 / Java EE 6 相当）。jakarta.ee への移行前提",デプロイ,high,src/main/webapp/WEB-INF/web.xml:24-27,fact,no,"Jakarta EE 9+ 対応コンテナ（Tomcat 10+/Jetty 11+等）では javax.* が使用できないため、web.xml の namespace 変更が必要"
src/main/webapp/WEB-INF/beans.xml,encoding,xmlns が xmlns.jcp.org/xml/ns/javaee（Java EE 7/8 相当）。Jakarta EE 9+ では jakarta.ee に変更が必要,デプロイ,high,src/main/webapp/WEB-INF/beans.xml:18-21,fact,no,Jakarta EE 9+ への移行時は beans.xml namespace も更新が必要
src/main/java/.../web/actions/*.java,encoding,"javax.servlet.http.HttpSession / HttpServletRequest を import（AccountActionBean.java, CartActionBean.java, OrderActionBean.java）",実行,high,"src/main/java/org/mybatis/jpetstore/web/actions/AccountActionBean.java:22, CartActionBean.java:20, OrderActionBean.java:22",fact,no,jakarta.servlet.* に変更しないと Jakarta EE 9+ サーブレットコンテナではコンパイル・デプロイ不可
src/main/webapp/WEB-INF/jsp/common/IncludeTop.jsp,encoding,contentType="text/html;charset=UTF-8" を明示。他の JSP はページエンコーディング未指定,実行,low,src/main/webapp/WEB-INF/jsp/common/IncludeTop.jsp:18,fact,no,他 JSP は IncludeTop.jsp を include しているため実効的には UTF-8 が適用される。サーバ側デフォルトエンコーディングと一致している必要あり
pom.xml,encoding,全 XML ファイルで encoding=UTF-8 宣言。project.build.sourceEncoding は親 POM (mybatis-parent:52) に委任,ビルド,low,pom.xml:1,inferred,yes,mybatis-parent の project.build.sourceEncoding 設定内容は本リポジトリ内から確認不可
src/test/java/.../MapperTestContext.java,encoding,テスト用 DB スクリプト読み込みで setScriptEncoding("UTF-8") を明示,テスト,low,src/test/java/org/mybatis/jpetstore/mapper/MapperTestContext.java:37,fact,no,テスト環境でも UTF-8 前提。非 UTF-8 環境では SQL の日本語リテラル等が文字化けする可能性あり
pom.xml,build,"wildfly26 プロファイルで --add-opens=java.base/java.util=ALL-UNNAMED を JVM 引数に追加（cargo.jvmargs）",実行,mid,pom.xml:388,fact,no,Java 9+ の強カプセル化に対するワークアラウンド。WildFly 26 + Java 17 の組合せで必要
pom.xml,build,maven-war-plugin の manifest に jdk.unsupported モジュール依存を追加（WildFly / Liberty 向け）,デプロイ,mid,pom.xml:245,fact,no,Java モジュールシステム依存。jdk.unsupported が存在しない JRE では動作しない可能性あり
src/main/webapp/WEB-INF/applicationContext.xml,deploy,"DB は jdbc:embedded-database（HSQLDB インメモリ）を使用。外部 DB 接続設定なし。データは classpath:database/jpetstore-hsqldb-*.sql から毎回初期化",データ,high,src/main/webapp/WEB-INF/applicationContext.xml:31-34,fact,no,本番環境で永続化が必要な場合は dataSource Bean を外部 DB 接続に差し替えが必要。現状は起動ごとにデータリセット
